ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type
NEDERLAND ISD,Spring 2022,3,12,88,64,36,123905,STAAR - Reading
NEEDVILLE ISD,Spring 2022,3,13,87,61,33,79906,STAAR - Reading
MIDWAY ISD (161903),Spring 2022,3,13,87,65,43,161903,STAAR - Reading
MILANO ISD,Spring 2022,3,0,100,80,40,166903,STAAR - Reading
MILDRED ISD,Spring 2022,3,22,78,57,31,175910,STAAR - Reading
MILES ISD,Spring 2022,3,9,91,75,44,200902,STAAR - Reading
MILFORD ISD,Spring 2022,3,20,80,50,30,70909,STAAR - Reading
MILLER GROVE ISD,Spring 2022,3,5,95,63,37,112907,STAAR - Reading
MILLSAP ISD,Spring 2022,3,33,67,37,23,184904,STAAR - Reading
MINEOLA ISD,Spring 2022,3,18,82,45,23,250903,STAAR - Reading
MINERAL WELLS ISD,Spring 2022,3,24,76,50,24,182903,STAAR - Reading
MISSION CISD (108908),Spring 2022,3,27,73,46,23,108908,STAAR - Reading
MONAHANS-WICKETT-PYOTE ISD,Spring 2022,3,13,87,60,38,238902,STAAR - Reading
MONTAGUE ISD,Spring 2022,3,0,100,60,40,169908,STAAR - Reading
MONTE ALTO ISD,Spring 2022,3,36,64,36,11,108915,STAAR - Reading
MONTESSORI FOR ALL,Spring 2022,3,18,82,55,38,227826,STAAR - Reading
MONTGOMERY ISD,Spring 2022,3,8,92,74,48,170903,STAAR - Reading
MOODY ISD,Spring 2022,3,9,91,63,43,161910,STAAR - Reading
MORAN ISD,Spring 2022,3,17,83,67,67,209902,STAAR - Reading
MORGAN ISD,Spring 2022,3,50,50,25,25,18903,STAAR - Reading
MORGAN MILL ISD,Spring 2022,3,36,64,45,18,72910,STAAR - Reading
MORTON ISD,Spring 2022,3,32,68,32,21,40901,STAAR - Reading
MEADOW ISD,Spring 2022,3,27,73,45,18,223902,STAAR - Reading
MEADOWLAND CHARTER DISTRICT,Spring 2022,3,67,33,17,17,130801,STAAR - Reading
MEDINA ISD,Spring 2022,3,15,85,65,25,10901,STAAR - Reading
MEDINA VALLEY ISD,Spring 2022,3,18,82,59,37,163908,STAAR - Reading
MELISSA ISD,Spring 2022,3,12,88,71,47,43908,STAAR - Reading
MEMPHIS ISD,Spring 2022,3,24,76,43,19,96904,STAAR - Reading
MENARD ISD,Spring 2022,3,27,73,53,13,164901,STAAR - Reading
MERCEDES ISD,Spring 2022,3,40,60,33,13,108907,STAAR - Reading
MERIDIAN ISD,Spring 2022,3,27,73,36,18,18902,STAAR - Reading
MERIDIAN WORLD SCHOOL LLC (246801),Spring 2022,3,4,96,81,60,246801,STAAR - Reading
MERKEL ISD,Spring 2022,3,35,65,41,18,221904,STAAR - Reading
MESQUITE ISD,Spring 2022,3,28,72,42,23,57914,STAAR - Reading
MEXIA ISD,Spring 2022,3,28,72,41,19,147903,STAAR - Reading
MEYERPARK ELEMENTARY,Spring 2022,3,27,73,40,19,101855,STAAR - Reading
MEYERSVILLE ISD,Spring 2022,3,6,94,65,41,62906,STAAR - Reading
MIAMI ISD,Spring 2022,3,8,92,42,33,197902,STAAR - Reading
MIDLAND ACADEMY CHARTER SCHOOL (165802),Spring 2022,3,10,90,65,48,165802,STAAR - Reading
MIDLAND ISD,Spring 2022,3,25,75,48,28,165901,STAAR - Reading
MIDLOTHIAN ISD,Spring 2022,3,13,87,58,37,70908,STAAR - Reading
MIDWAY ISD (039905),Spring 2022,3,45,55,36,18,39905,STAAR - Reading
MARION ISD,Spring 2022,3,20,80,58,37,94904,STAAR - Reading
MARLIN ISD,Spring 2022,3,51,49,22,9,73903,STAAR - Reading
MARSHALL ISD,Spring 2022,3,35,65,43,24,102902,STAAR - Reading
MART ISD,Spring 2022,3,20,80,40,25,161908,STAAR - Reading
MARTINS MILL ISD,Spring 2022,3,17,83,58,36,234905,STAAR - Reading
MARTINSVILLE ISD,Spring 2022,3,18,82,59,24,174909,STAAR - Reading
MASON ISD,Spring 2022,3,11,89,74,51,157901,STAAR - Reading
MATAGORDA ISD,Spring 2022,3,27,73,45,9,158904,STAAR - Reading
MATHIS ISD,Spring 2022,3,20,80,54,29,205904,STAAR - Reading
MAUD ISD,Spring 2022,3,12,88,61,45,19903,STAAR - Reading
MAY ISD,Spring 2022,3,29,71,43,29,25905,STAAR - Reading
MAYPEARL ISD,Spring 2022,3,13,87,57,34,70915,STAAR - Reading
MCALLEN ISD,Spring 2022,3,18,82,57,35,108906,STAAR - Reading
MCCAMEY ISD,Spring 2022,3,28,72,44,28,231901,STAAR - Reading
MCDADE ISD,Spring 2022,3,44,56,22,11,11905,STAAR - Reading
MCGREGOR ISD,Spring 2022,3,25,75,46,20,161909,STAAR - Reading
MCKINNEY ISD,Spring 2022,3,15,85,62,40,43907,STAAR - Reading
MCLEAN ISD,Spring 2022,3,17,83,33,17,90903,STAAR - Reading
MCLEOD ISD,Spring 2022,3,4,96,68,28,34906,STAAR - Reading
MCMULLEN COUNTY ISD,Spring 2022,3,19,81,69,50,162904,STAAR - Reading
LUBBOCK-COOPER ISD,Spring 2022,3,14,86,61,38,152906,STAAR - Reading
LUEDERS-AVOCA ISD,Spring 2022,3,20,80,40,20,127905,STAAR - Reading
LUFKIN ISD,Spring 2022,3,27,73,39,22,3903,STAAR - Reading
LULING ISD,Spring 2022,3,28,72,40,28,28903,STAAR - Reading
LUMBERTON ISD,Spring 2022,3,13,87,61,36,100907,STAAR - Reading
LUMIN EDUCATION,Spring 2022,3,26,74,52,37,57805,STAAR - Reading
LYFORD CISD,Spring 2022,3,37,63,29,13,245902,STAAR - Reading
LYTLE ISD,Spring 2022,3,36,64,35,13,7904,STAAR - Reading
MABANK ISD,Spring 2022,3,21,79,52,29,129905,STAAR - Reading
MADISONVILLE CISD,Spring 2022,3,17,83,50,27,154901,STAAR - Reading
MAGNOLIA ISD,Spring 2022,3,14,86,61,38,170906,STAAR - Reading
MALAKOFF ISD,Spring 2022,3,8,92,61,35,107906,STAAR - Reading
MALONE ISD,Spring 2022,3,39,61,39,11,109908,STAAR - Reading
MALTA ISD,Spring 2022,3,0,100,58,37,19910,STAAR - Reading
MANARA ACADEMY (057844),Spring 2022,3,32,68,43,23,57844,STAAR - Reading
MANOR ISD,Spring 2022,3,29,71,44,23,227907,STAAR - Reading
MANSFIELD ISD,Spring 2022,3,17,83,59,38,220908,STAAR - Reading
MARATHON ISD,Spring 2022,3,0,0,0,0,22902,STAAR - Reading
MARBLE FALLS ISD,Spring 2022,3,20,80,59,30,27904,STAAR - Reading
MARFA ISD,Spring 2022,3,16,84,53,16,189901,STAAR - Reading
LITTLEFIELD ISD,Spring 2022,3,24,76,34,16,140904,STAAR - Reading
LIVINGSTON ISD,Spring 2022,3,15,85,60,35,187907,STAAR - Reading
LLANO ISD,Spring 2022,3,19,81,47,24,150901,STAAR - Reading
LOCKHART ISD,Spring 2022,3,28,72,42,21,28902,STAAR - Reading
LOCKNEY ISD,Spring 2022,3,31,69,23,8,77902,STAAR - Reading
LOHN ISD,Spring 2022,3,33,67,40,27,160905,STAAR - Reading
LOMETA ISD,Spring 2022,3,45,55,27,5,141902,STAAR - Reading
LONDON ISD,Spring 2022,3,11,89,71,46,178906,STAAR - Reading
LONE OAK ISD,Spring 2022,3,13,87,60,35,116906,STAAR - Reading
LONE STAR LANGUAGE ACADEMY (043802),Spring 2022,3,5,95,59,41,43802,STAAR - Reading
LONGVIEW ISD,Spring 2022,3,24,76,56,34,92903,STAAR - Reading
LOOP ISD,Spring 2022,3,15,85,62,54,83902,STAAR - Reading
LORAINE ISD,Spring 2022,3,17,83,42,25,168902,STAAR - Reading
LORENA ISD,Spring 2022,3,7,93,70,49,161907,STAAR - Reading
LORENZO ISD (054902),Spring 2022,3,43,57,29,0,54902,STAAR - Reading
LOS FRESNOS CISD,Spring 2022,3,18,82,57,32,31906,STAAR - Reading
LOUISE ISD,Spring 2022,3,41,59,30,22,241906,STAAR - Reading
LOVEJOY ISD,Spring 2022,3,6,94,81,57,43919,STAAR - Reading
LOVELADY ISD,Spring 2022,3,16,84,53,21,113903,STAAR - Reading
LUBBOCK ISD,Spring 2022,3,22,78,51,29,152901,STAAR - Reading
LEGACY TRADITIONAL SCHOOLS - TEXAS,Spring 2022,3,61,39,13,3,15806,STAAR - Reading
LEGGETT ISD,Spring 2022,3,53,47,20,7,187906,STAAR - Reading
LEON ISD,Spring 2022,3,10,90,48,25,145911,STAAR - Reading
LEONARD ISD,Spring 2022,3,20,80,48,31,74909,STAAR - Reading
LEVELLAND ISD,Spring 2022,3,27,73,39,22,110902,STAAR - Reading
LEVERETTS CHAPEL ISD,Spring 2022,3,15,85,62,31,201904,STAAR - Reading
LEWISVILLE ISD,Spring 2022,3,16,84,62,41,61902,STAAR - Reading
LEXINGTON ISD,Spring 2022,3,21,79,52,26,144902,STAAR - Reading
LIBERTY HILL ISD,Spring 2022,3,16,84,62,37,246908,STAAR - Reading
LIBERTY ISD,Spring 2022,3,27,73,47,23,146906,STAAR - Reading
LIBERTY-EYLAU ISD,Spring 2022,3,43,57,28,12,19908,STAAR - Reading
LIFE SCHOOL,Spring 2022,3,33,67,40,21,57807,STAAR - Reading
LIGHTHOUSE PUBLIC SCHOOLS,Spring 2022,3,52,48,31,14,15825,STAAR - Reading
LINDALE ISD,Spring 2022,3,10,90,75,50,212903,STAAR - Reading
LINDEN-KILDARE CISD,Spring 2022,3,24,76,55,33,34905,STAAR - Reading
LINDSAY ISD,Spring 2022,3,11,89,67,42,49907,STAAR - Reading
LINGLEVILLE ISD,Spring 2022,3,0,100,75,31,72909,STAAR - Reading
LIPAN ISD,Spring 2022,3,12,88,73,35,111902,STAAR - Reading
LITTLE CYPRESS-MAURICEVILLE CISD,Spring 2022,3,26,74,46,26,181908,STAAR - Reading
LITTLE ELM ISD,Spring 2022,3,22,78,50,30,61914,STAAR - Reading
LAGO VISTA ISD,Spring 2022,3,16,84,61,46,227912,STAAR - Reading
LAKE DALLAS ISD,Spring 2022,3,30,70,44,28,61912,STAAR - Reading
LAKE TRAVIS ISD,Spring 2022,3,12,88,66,43,227913,STAAR - Reading
LAKE WORTH ISD,Spring 2022,3,51,49,23,9,220910,STAAR - Reading
LAMAR CISD,Spring 2022,3,15,85,64,39,79901,STAAR - Reading
LAMESA ISD,Spring 2022,3,35,65,41,20,58906,STAAR - Reading
LAMPASAS ISD,Spring 2022,3,19,81,57,30,141901,STAAR - Reading
LANCASTER ISD,Spring 2022,3,31,69,45,24,57913,STAAR - Reading
LANEVILLE ISD,Spring 2022,3,29,71,57,14,201903,STAAR - Reading
LAPOYNOR ISD,Spring 2022,3,4,96,74,26,107910,STAAR - Reading
LAREDO ISD,Spring 2022,3,23,77,49,27,240901,STAAR - Reading
LASARA ISD,Spring 2022,3,36,64,57,29,245901,STAAR - Reading
LATEXO ISD,Spring 2022,3,11,89,44,22,113905,STAAR - Reading
LAZBUDDIE ISD,Spring 2022,3,0,100,57,14,185904,STAAR - Reading
LEADERSHIP PREP SCHOOL (061804),Spring 2022,3,17,83,57,29,61804,STAAR - Reading
LEAKEY ISD,Spring 2022,3,24,76,35,12,193902,STAAR - Reading
LEANDER ISD,Spring 2022,3,14,86,66,43,246913,STAAR - Reading
LEARY ISD,Spring 2022,3,0,100,86,29,19914,STAAR - Reading
LEFORS ISD,Spring 2022,3,35,65,41,24,90902,STAAR - Reading
LEGACY PREPARATORY,Spring 2022,3,47,53,31,19,57846,STAAR - Reading
KLEIN ISD,Spring 2022,3,19,81,57,35,101915,STAAR - Reading
KLONDIKE ISD (058905),Spring 2022,3,0,100,72,44,58905,STAAR - Reading
KNIPPA ISD,Spring 2022,3,8,92,74,49,232901,STAAR - Reading
KNOX CITY-O'BRIEN CISD,Spring 2022,3,7,93,57,36,138902,STAAR - Reading
KOPPERL ISD,Spring 2022,3,22,78,44,22,18907,STAAR - Reading
KOUNTZE ISD,Spring 2022,3,24,76,45,28,100903,STAAR - Reading
KRESS ISD,Spring 2022,3,27,73,13,13,219905,STAAR - Reading
KRUM ISD,Spring 2022,3,19,81,53,32,61905,STAAR - Reading
LA ACADEMIA DE ESTRELLAS (057839),Spring 2022,3,16,84,45,21,57839,STAAR - Reading
LA FE PREPARATORY SCHOOL (071807),Spring 2022,3,33,67,33,33,71807,STAAR - Reading
LA FERIA ISD,Spring 2022,3,28,72,46,22,31905,STAAR - Reading
LA GLORIA ISD,Spring 2022,3,22,78,67,33,125906,STAAR - Reading
LA GRANGE ISD,Spring 2022,3,24,76,49,24,75902,STAAR - Reading
LA JOYA ISD,Spring 2022,3,23,77,49,24,108912,STAAR - Reading
LA PORTE ISD,Spring 2022,3,14,86,58,33,101916,STAAR - Reading
LA PRYOR ISD,Spring 2022,3,29,71,47,20,254902,STAAR - Reading
LA VEGA ISD,Spring 2022,3,17,83,49,22,161906,STAAR - Reading
LA VERNIA ISD,Spring 2022,3,19,81,53,32,247903,STAAR - Reading
LA VILLA ISD,Spring 2022,3,39,61,13,6,108914,STAAR - Reading
LACKLAND ISD,Spring 2022,3,16,84,56,34,15913,STAAR - Reading
IRVING ISD,Spring 2022,3,37,63,33,17,57912,STAAR - Reading
ITALY ISD,Spring 2022,3,39,61,33,17,70907,STAAR - Reading
ITASCA ISD,Spring 2022,3,30,70,38,17,109907,STAAR - Reading
JACKSBORO ISD,Spring 2022,3,33,67,43,20,119902,STAAR - Reading
JACKSONVILLE ISD,Spring 2022,3,30,70,42,22,37904,STAAR - Reading
JARRELL ISD,Spring 2022,3,36,64,34,18,246907,STAAR - Reading
JASPER ISD,Spring 2022,3,54,46,15,8,121904,STAAR - Reading
JAYTON-GIRARD ISD,Spring 2022,3,0,100,80,33,132902,STAAR - Reading
JEAN MASSIEU ACADEMY (057819),Spring 2022,3,27,73,27,20,57819,STAAR - Reading
JEFFERSON ISD,Spring 2022,3,18,82,57,35,155901,STAAR - Reading
JIM HOGG COUNTY ISD,Spring 2022,3,30,70,45,23,124901,STAAR - Reading
JOAQUIN ISD,Spring 2022,3,9,91,52,18,210902,STAAR - Reading
JOHNSON CITY ISD,Spring 2022,3,15,85,54,24,16901,STAAR - Reading
JONESBORO ISD,Spring 2022,3,17,83,56,22,50909,STAAR - Reading
JOSHUA ISD,Spring 2022,3,18,82,55,35,126905,STAAR - Reading
JOURDANTON ISD,Spring 2022,3,13,87,58,32,7902,STAAR - Reading
JUBILEE ACADEMIES,Spring 2022,3,35,65,39,21,15822,STAAR - Reading
JUDSON ISD,Spring 2022,3,26,74,45,25,15916,STAAR - Reading
JUNCTION ISD,Spring 2022,3,18,82,56,32,134901,STAAR - Reading
KARNACK ISD,Spring 2022,3,14,86,14,0,102901,STAAR - Reading
KARNES CITY ISD,Spring 2022,3,14,86,49,27,128901,STAAR - Reading
KATY ISD,Spring 2022,3,13,87,68,46,101914,STAAR - Reading
KAUFMAN ISD,Spring 2022,3,21,79,50,30,129903,STAAR - Reading
KEENE ISD,Spring 2022,3,17,83,59,37,126906,STAAR - Reading
KELLER ISD,Spring 2022,3,16,84,62,40,220907,STAAR - Reading
KELTON ISD,Spring 2022,3,14,86,71,29,242905,STAAR - Reading
KEMP ISD,Spring 2022,3,29,71,43,20,129904,STAAR - Reading
KENEDY COUNTY WIDE CSD,Spring 2022,3,40,60,30,10,131001,STAAR - Reading
KENEDY ISD,Spring 2022,3,26,74,44,10,128902,STAAR - Reading
KENNARD ISD (113906),Spring 2022,3,13,87,60,20,113906,STAAR - Reading
KENNEDALE ISD,Spring 2022,3,27,73,48,33,220914,STAAR - Reading
KERENS ISD,Spring 2022,3,22,78,34,22,175907,STAAR - Reading
KERMIT ISD,Spring 2022,3,39,61,28,9,248901,STAAR - Reading
KERRVILLE ISD,Spring 2022,3,13,87,64,40,133903,STAAR - Reading
KI CHARTER ACADEMY (105803),Spring 2022,3,0,0,0,0,105803,STAAR - Reading
KILGORE ISD,Spring 2022,3,18,82,55,35,92902,STAAR - Reading
KILLEEN ISD,Spring 2022,3,27,73,44,24,14906,STAAR - Reading
KINGSVILLE ISD,Spring 2022,3,34,66,37,22,137901,STAAR - Reading
KIPP TEXAS PUBLIC SCHOOLS,Spring 2022,3,36,64,39,22,227820,STAAR - Reading
KIRBYVILLE CISD,Spring 2022,3,19,81,50,32,121905,STAAR - Reading
NEW BOSTON ISD,Spring 2022,3,38,62,41,18,19905,STAAR - Reading
NEW BRAUNFELS ISD,Spring 2022,3,14,86,64,43,46901,STAAR - Reading
NEW CANEY ISD,Spring 2022,3,32,68,42,23,170908,STAAR - Reading
NEW DEAL ISD,Spring 2022,3,30,70,37,19,152902,STAAR - Reading
NEW DIANA ISD,Spring 2022,3,7,93,70,49,230906,STAAR - Reading
NEW HOME ISD,Spring 2022,3,0,100,88,71,153905,STAAR - Reading
NEW SUMMERFIELD ISD,Spring 2022,3,13,87,62,36,37908,STAAR - Reading
NEW WAVERLY ISD,Spring 2022,3,11,89,69,38,236901,STAAR - Reading
NEWCASTLE ISD,Spring 2022,3,42,58,50,33,252902,STAAR - Reading
NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON (220817),Spring 2022,3,26,74,46,26,220817,STAAR - Reading
NEWTON ISD,Spring 2022,3,26,74,40,26,176902,STAAR - Reading
NIXON-SMILEY CISD,Spring 2022,3,21,79,53,35,89903,STAAR - Reading
NOCONA ISD,Spring 2022,3,25,75,55,38,169902,STAAR - Reading
NORDHEIM ISD,Spring 2022,3,10,90,50,0,62902,STAAR - Reading
NORMANGEE ISD,Spring 2022,3,31,69,50,31,145906,STAAR - Reading
NORTH EAST ISD,Spring 2022,3,19,81,58,37,15910,STAAR - Reading
NORTH HOPKINS ISD,Spring 2022,3,9,91,65,44,112906,STAAR - Reading
NORTH LAMAR ISD,Spring 2022,3,26,74,47,27,139911,STAAR - Reading
NORTH TEXAS COLLEGIATE ACADEMY,Spring 2022,3,42,58,30,16,61802,STAAR - Reading
NORTH ZULCH ISD,Spring 2022,3,11,89,61,25,154903,STAAR - Reading
NORTHSIDE ISD (015915),Spring 2022,3,25,75,49,29,15915,STAAR - Reading
NORTHSIDE ISD (244905),Spring 2022,3,9,91,68,41,244905,STAAR - Reading
NORTHWEST ISD,Spring 2022,3,18,82,58,37,61911,STAAR - Reading
NOVA ACADEMY (057809),Spring 2022,3,38,62,25,12,57809,STAAR - Reading
NOVA ACADEMY SOUTHEAST,Spring 2022,3,50,50,33,17,57827,STAAR - Reading
NUECES CANYON CISD,Spring 2022,3,11,89,44,28,69902,STAAR - Reading
NURSERY ISD,Spring 2022,3,6,94,71,59,235904,STAAR - Reading
NYOS CHARTER SCHOOL (227804),Spring 2022,3,15,85,67,48,227804,STAAR - Reading
O'DONNELL ISD,Spring 2022,3,35,65,35,19,153903,STAAR - Reading
OAKWOOD ISD,Spring 2022,3,26,74,47,16,145907,STAAR - Reading
ODEM-EDROY ISD,Spring 2022,3,24,76,45,29,205905,STAAR - Reading
ODYSSEY ACADEMY INC,Spring 2022,3,22,78,50,23,84802,STAAR - Reading
OGLESBY ISD,Spring 2022,3,41,59,29,18,50904,STAAR - Reading
OLFEN ISD,Spring 2022,3,14,86,86,43,200906,STAAR - Reading
OLNEY ISD,Spring 2022,3,26,74,49,30,252903,STAAR - Reading
OLTON ISD,Spring 2022,3,10,90,67,44,140905,STAAR - Reading
ONALASKA ISD,Spring 2022,3,17,83,49,32,187910,STAAR - Reading
ORANGE GROVE ISD,Spring 2022,3,16,84,63,43,125903,STAAR - Reading
ORANGEFIELD ISD,Spring 2022,3,20,80,59,35,181905,STAAR - Reading
ORE CITY ISD,Spring 2022,3,26,74,46,23,230903,STAAR - Reading
ORENDA CHARTER SCHOOL,Spring 2022,3,9,91,72,44,14804,STAAR - Reading
OVERTON ISD,Spring 2022,3,10,90,61,35,201908,STAAR - Reading
PADUCAH ISD,Spring 2022,3,29,71,14,7,51901,STAAR - Reading
PAINT CREEK ISD,Spring 2022,3,14,86,57,14,104907,STAAR - Reading
PAINT ROCK ISD,Spring 2022,3,33,67,42,17,48903,STAAR - Reading
PALACIOS ISD,Spring 2022,3,24,76,49,28,158905,STAAR - Reading
PALESTINE ISD,Spring 2022,3,25,75,50,29,1907,STAAR - Reading
PALMER ISD,Spring 2022,3,18,82,53,33,70910,STAAR - Reading
PALO PINTO ISD,Spring 2022,3,10,90,80,60,182906,STAAR - Reading
PAMPA ISD,Spring 2022,3,30,70,44,22,90904,STAAR - Reading
PANHANDLE ISD,Spring 2022,3,17,82,55,47,33902,STAAR - Reading
PANTHER CREEK CISD,Spring 2022,3,31,69,38,31,42905,STAAR - Reading
PARADISE ISD,Spring 2022,3,10,90,57,35,249906,STAAR - Reading
PARIS ISD,Spring 2022,3,30,70,40,21,139909,STAAR - Reading
PASADENA ISD,Spring 2022,3,24,76,45,24,101917,STAAR - Reading
PATTON SPRINGS ISD,Spring 2022,3,0,100,60,60,63906,STAAR - Reading
PAWNEE ISD,Spring 2022,3,65,35,29,24,13902,STAAR - Reading
PEARLAND ISD,Spring 2022,3,13,87,66,45,20908,STAAR - Reading
PEARSALL ISD,Spring 2022,3,38,62,35,18,82903,STAAR - Reading
PEASTER ISD,Spring 2022,3,25,75,49,30,184908,STAAR - Reading
