OBJECTID,STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,SDADMLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape__Area,Shape__Length
3382,40, , ,03510, ,4003510,Balko Public Schools,00,PK,12,G5420, ,E,1142472040,279891,+36.5957215,-100.6460512,2022,2021-2022,0.115088297094871,2.36234199094309
3383,40, , ,17220, ,4017220,Laverne Public Schools,00,KG,12,G5420, ,E,2154026970,6038891,+36.7214359,-100.0183522,2022,2021-2022,0.217887513239475,2.94823520547466
3384,40, , ,31350, ,4031350,Wagoner Public Schools,00,PK,12,G5420, ,E,342540331,30682219,+35.9978303,-095.4071970,2022,2021-2022,0.0373010118798902,1.25048677586933
3385,40, , ,18000, ,4018000,Locust Grove Public Schools,00,KG,12,G5420, ,E,381017050,14227725,+36.1395273,-095.1715185,2022,2021-2022,0.0395772111576207,1.20776782687155
3386,40, , ,08850, ,4008850,Coweta Public Schools,00,KG,12,G5420, ,E,295903265,6948674,+35.9814331,-095.6243762,2022,2021-2022,0.0302637347228938,1.17917488166855
3387,40, , ,22620, ,4022620,Okay Public Schools,00,PK,12,G5420, ,E,116912869,9605390,+35.8732173,-095.3276641,2022,2021-2022,0.0126261369689473,0.57137830091038
3388,40, , ,16560, ,4016560,Kingfisher Public Schools,00,PK,12,G5420, ,E,472596977,3852847,+35.8763169,-097.9161767,2022,2021-2022,0.0475436407493817,1.56582016828088
3389,40, , ,10050, ,4010050,Dover Public Schools,00,PK,12,G5420, ,E,316164303,3867302,+35.9932314,-097.8631523,2022,2021-2022,0.0319839393291659,1.10073138380168
3390,40, , ,23430, ,4023430,Paoli Public Schools,00,PK,12,G5420, ,E,121622755,3432322,+34.8200553,-097.2746281,2022,2021-2022,0.0123217345580997,0.703157586534469
3391,40, , ,20880, ,4020880,Muldrow Public Schools,00,PK,12,G5420, ,E,205756901,5393898,+35.4264981,-094.5817135,2022,2021-2022,0.020957997538062,1.30930120133961
3392,40, , ,24690, ,4024690,Ponca City Public Schools,00,PK,12,G5420, ,E,423459953,24388391,+36.6326169,-097.1176636,2022,2021-2022,0.0451492932422752,2.20271489611012
3393,40, , ,12570, ,4012570,Geary Public Schools,00,PK,12,G5420, ,E,768614401,1359795,+35.6758312,-098.3947755,2022,2021-2022,0.0766518826712854,1.45550615493643
3394,40, , ,30600, ,4030600,Union Public Schools,00,PK,12,G5420, ,E,70785898,127301,+36.0648797,-095.8542238,2022,2021-2022,0.00709394053387769,0.444148918172271
3395,40, , ,05040, ,4005040,Boswell Public Schools,00,PK,12,G5420, ,E,460100235,2024290,+34.0078495,-095.8428462,2022,2021-2022,0.0450998970343335,1.38379296205017
